Id,CO2 Emissions(g/km)
54938,326.81815
54939,206.19101
54940,215.17732
54941,205.07195
54942,215.26694
54943,231.93956
54944,346.66272
54945,188.33517
54946,328.2937
54947,167.23306
54948,225.39384
54949,317.8103
54950,175.53886
54951,229.92116
54952,197.6695
54953,389.02936
54954,402.45242
54955,255.72601
54956,234.20786
54957,264.7444
54958,187.1271
54959,218.23355
54960,222.1845
54961,247.89146
54962,187.0357
54963,196.7006
54964,207.74048
54965,205.54471
54966,214.81068
54967,212.5361
54968,210.37009
54969,342.37112
54970,299.8372
54971,253.57224
54972,379.80615
54973,241.22482
54974,199.7588
54975,327.81934
54976,237.19574
54977,243.95969
54978,200.19885
54979,351.13492
54980,254.45723
54981,374.491
54982,301.89978
54983,228.89395
54984,162.5053
54985,157.5085
54986,185.54013
54987,233.66634
54988,181.78578
54989,298.38766
54990,357.8619
54991,167.21588
54992,237.93217
54993,327.1417
54994,180.75577
54995,205.67787
54996,167.28835
54997,296.94827
54998,352.31357
54999,167.3271
55000,360.57764
55001,175.35855
55002,236.51628
55003,355.2575
55004,297.02087
55005,175.30925
55006,306.7156
55007,292.78354
55008,188.73268
55009,160.81116
55010,218.94444
55011,310.3829
55012,210.8709
55013,309.36035
55014,304.66373
55015,270.17548
55016,372.57092
55017,262.13922
55018,231.62349
55019,171.83232
55020,306.45422
55021,206.91243
55022,257.15475
55023,190.04688
55024,258.52887
55025,383.2182
55026,219.87709
55027,168.9053
55028,249.54172
55029,127.91351
55030,231.85515
55031,353.77524
55032,201.0034
55033,170.74918
55034,194.46068
55035,286.90063
55036,240.99547
55037,269.08273
55038,338.888
55039,271.1818
55040,209.71085
55041,195.64772
55042,341.01306
55043,241.56618
55044,255.4199
55045,228.16258
55046,201.86594
55047,186.5749
55048,216.21948
55049,304.3206
55050,183.88774
55051,307.8283
55052,350.0297
55053,264.42844
55054,411.98346
55055,258.6679
55056,280.65173
55057,202.13992
55058,327.6816
55059,277.68228
55060,161.34514
55061,142.85033
55062,220.19618
55063,333.80228
55064,385.0676
55065,218.56854
55066,180.13342
55067,199.90509
55068,232.52408
55069,319.9768
55070,213.46996
55071,277.819
55072,297.82892
55073,179.83711
55074,261.52954
55075,184.31253
55076,377.57767
55077,195.73073
55078,185.57921
55079,338.61356
55080,135.80724
55081,338.3914
55082,302.28995
55083,226.94379
55084,219.92447
55085,400.46896
55086,239.31293
55087,253.68086
55088,180.30052
55089,225.66667
55090,248.02124
55091,350.348
55092,295.51434
55093,333.81888
55094,169.11444
55095,225.12071
55096,269.53085
55097,310.7614
55098,254.78055
55099,235.33601
55100,247.03801
55101,211.90427
55102,233.39005
55103,312.29297
55104,187.5172
55105,298.08487
55106,219.21318
55107,304.78235
55108,209.88141
55109,325.43503
55110,299.16034
55111,325.23666
55112,306.6568
55113,244.03528
55114,294.98038
55115,191.11891
55116,147.05974
55117,181.42497
55118,296.82407
55119,318.56024
55120,397.51303
55121,366.0365
55122,181.65591
55123,142.19397
55124,215.88951
55125,222.23761
55126,169.46483
55127,252.19295
55128,119.030106
55129,230.34268
55130,259.02707
55131,224.64671
55132,276.75748
55133,179.9824
55134,238.63432
55135,170.37051
55136,386.4029
55137,236.55663
55138,277.53336
55139,211.54497
55140,202.57109
55141,203.80746
55142,137.37846
55143,204.71953
55144,249.8087
55145,396.26093
55146,225.89398
55147,208.36409
55148,248.45168
55149,171.08022
55150,205.61632
55151,187.13892
55152,154.49297
55153,222.23203
55154,187.20934
55155,360.88
55156,227.06252
55157,169.24794
55158,250.09442
55159,252.28381
55160,270.09576
55161,229.5482
55162,405.52747
55163,117.79128
55164,227.39581
55165,213.65242
55166,160.55252
55167,363.11993
55168,278.99823
55169,245.91179
55170,208.66588
55171,240.48305
55172,295.19714
55173,320.88614
55174,227.88463
55175,284.67056
55176,373.39
55177,145.97217
55178,177.85536
55179,191.06248
55180,239.7369
55181,368.79974
55182,285.37857
55183,251.9085
55184,298.64856
55185,302.92035
55186,360.1611
55187,150.5213
55188,261.82806
55189,237.03285
55190,144.3704
55191,256.2163
55192,331.32132
55193,338.63928
55194,165.51645
55195,196.04178
55196,162.03804
55197,306.61783
55198,308.57825
55199,206.39555
55200,254.73003
55201,335.9801
55202,166.88908
55203,170.21951
55204,192.81723
55205,138.93059
55206,204.20915
55207,195.84355
55208,325.6344
55209,241.79047
55210,198.0795
55211,309.30368
55212,233.46657
55213,284.26297
55214,196.09383
55215,175.7789
55216,324.06656
55217,188.27748
55218,304.25528
55219,219.26813
55220,223.2511
55221,183.17555
55222,221.06978
55223,322.0296
55224,233.95546
55225,224.51085
55226,339.58807
55227,227.04149
55228,256.84464
55229,318.01544
55230,188.17429
55231,219.67587
55232,190.84283
55233,331.72153
55234,217.95674
55235,174.36763
55236,229.98062
55237,219.66405
55238,392.9459
55239,215.5142
55240,220.18109
55241,283.4013
55242,213.90915
55243,323.419
55244,198.74207
55245,209.98051
55246,243.37831
55247,292.717
55248,204.10591
55249,165.27864
55250,273.05002
55251,393.91
55252,281.91064
55253,176.84694
55254,281.68582
55255,361.74786
55256,327.78403
55257,193.06139
55258,158.43571
55259,180.17392
55260,234.67023
55261,331.32248
55262,210.66641
55263,212.63698
55264,194.74838
55265,290.36276
55266,367.33182
55267,177.90799
55268,301.02847
55269,386.40424
55270,226.27397
55271,402.8253
55272,335.60254
55273,284.3447
55274,418.95187
55275,231.499
55276,228.92552
55277,327.00476
55278,264.53226
55279,222.93146
55280,312.11823
55281,148.1257
55282,337.57697
55283,314.9618
55284,307.7475
55285,193.97296
55286,260.38324
55287,189.76805
55288,309.9146
55289,158.79933
55290,219.93762
55291,203.9664
55292,250.75256
55293,311.6422
55294,294.88626
55295,213.3535
55296,373.73306
55297,267.64896
55298,204.13794
55299,168.07515
55300,202.0277
55301,238.74556
55302,338.30963
55303,279.31824
55304,264.0357
55305,323.64627
55306,240.89754
55307,410.432
55308,164.68777
55309,206.91273
55310,288.70587
55311,270.31296
55312,205.95134
55313,299.76828
55314,174.02171
55315,204.5433
55316,205.35466
55317,241.0687
55318,180.60005
55319,389.43604
55320,276.9848
55321,195.44138
55322,376.124
55323,227.57445
55324,187.09727
55325,405.19858
55326,376.2613
55327,131.9252
55328,291.11188
55329,342.82693
55330,215.94115
55331,177.51053
55332,205.87318
55333,219.79741
55334,385.6089
55335,320.7353
55336,237.52245
55337,163.3791
55338,279.30002
55339,238.36203
55340,240.32498
55341,337.7549
55342,181.55653
55343,260.65
55344,194.3712
55345,175.65617
55346,201.55779
55347,292.27267
55348,189.32074
55349,312.45676
55350,329.1746
55351,194.97644
55352,172.00015
55353,196.50676
55354,307.48703
55355,262.88583
55356,238.07404
55357,172.91743
55358,239.58673
55359,222.6355
55360,255.37627
55361,398.69995
55362,334.24136
55363,343.26596
55364,313.63965
55365,191.79462
55366,321.24246
55367,406.261
55368,214.08344
55369,244.33542
55370,374.82068
55371,177.3917
55372,278.4433
55373,264.35797
55374,272.52255
55375,294.1649
55376,275.35837
55377,227.3865
55378,246.52412
55379,153.07431
55380,219.76143
55381,205.00005
55382,204.18866
55383,280.81027
55384,255.7596
55385,240.26834
55386,237.77715
55387,263.88654
55388,257.21658
55389,229.64699
55390,240.36406
55391,255.5656
55392,229.98622
55393,354.34094
55394,198.20798
55395,189.23383
55396,158.53384
55397,241.9893
55398,213.36111
55399,194.11765
55400,193.45598
55401,320.56558
55402,221.85265
55403,279.14325
55404,330.41586
55405,254.62582
55406,336.4352
55407,334.34692
